company,date,current volume,mean volume,action
PTC,2020-02-03,1220395.0,789612.0892857143,True
PURVA,2020-02-03,60331.0,75888.67857142857,False
PVR,2020-02-03,3028131.0,2133701.75,True
QUESS,2020-02-03,459027.0,398588.14285714284,True
RADICO,2020-02-03,737303.0,895419.6785714285,False
RAIN,2020-02-03,923768.0,1112382.3035714286,False
RAJESHEXPO,2020-02-03,43147.0,79749.53571428571,False
RALLIS,2020-02-03,1068255.0,601198.4642857143,True
RAMCOCEM,2020-02-03,1044581.0,831888.0714285715,True
RAMCOIND,2020-02-03,71351.0,61473.08928571428,True
RATNAMANI,2020-02-03,13171.0,18163.053571428572,False
RAYMOND,2020-02-03,162602.0,316632.625,False
RBLBANK,2020-02-03,34808608.0,30439197.839285713,True
RCF,2020-02-03,1385580.0,2632554.6428571427,False
RECLTD,2020-02-03,6261631.0,7997469.482142857,False
REDINGTON,2020-02-03,517176.0,588383.6909090909,False
RELAXO,2020-02-03,173169.0,265872.21428571426,False
RELIANCE,2020-02-03,16460756.0,24213241.48214286,False
REPCOHOME,2020-02-03,160443.0,157558.0357142857,True
RESPONIND,2020-02-03,108294.0,96885.44642857143,True
RSYSTEMS,2020-02-03,4285.0,30155.625,False
RUPA,2020-02-03,9779.0,28965.64285714286,False
RVNL,2020-02-03,4185932.0,4912778.696428572,False
SAFARI,2020-02-03,6391.0,7628.339285714285,False
SAIL,2020-02-03,44969019.0,27739138.589285713,True
SANDHAR,2020-02-03,5904.0,12842.160714285714,False
SANOFI,2020-02-03,35955.0,47844.357142857145,False
SASKEN,2020-02-03,11659.0,21512.98214285714,False
SATIA,2020-02-03,31844.0,16853.60714285714,True
SBILIFE,2020-02-03,682804.0,1488364.875,False
SBIN,2020-02-03,88195120.0,73316174.5,True
SCHAEFFLER,2020-02-03,102489.0,10130.660714285714,True
SEAMECLTD,2020-02-03,3708.0,10712.892857142857,False
SEQUENT,2020-02-03,681536.0,669641.0357142857,True
SESHAPAPER,2020-02-03,6029.0,38014.857142857145,False
SFL,2020-02-03,4835.0,8538.839285714286,False
SHANKARA,2020-02-03,19583.0,36114.66071428572,False
SHANTIGEAR,2020-02-03,18490.0,52685.42857142857,False
SHARDACROP,2020-02-03,16086.0,43726.392857142855,False
SHILPAMED,2020-02-03,19280.0,43074.19642857143,False
SHK,2020-02-03,810946.0,364272.4285714286,True
SHREECEM,2020-02-03,81015.0,73947.33928571429,True
SHRIRAMCIT,2020-02-03,5081.0,15192.357142857143,False
SIEMENS,2020-02-03,502716.0,554405.7321428572,False
SIS,2020-02-03,143926.0,65660.55357142857,True
SIYSIL,2020-02-03,40587.0,66992.57142857143,False
SJVN,2020-02-03,289633.0,1752756.7142857143,False
SKFINDIA,2020-02-03,4719.0,38249.892857142855,False
SOBHA,2020-02-03,69188.0,396976.73214285716,False
SOLARINDS,2020-02-03,9721.0,28952.875,False
SOMANYCERA,2020-02-03,36058.0,71356.80357142857,False
SONATSOFTW,2020-02-03,101153.0,268277.8214285714,False
SOTL,2020-02-03,639.0,2002.517857142857,False
SOUTHBANK,2020-02-03,10719170.0,11937039.089285715,False
SRF,2020-02-03,100304.0,293779.8214285714,False
SRTRANSFIN,2020-02-03,6954282.0,4915210.625,True
SSWL,2020-02-03,8760.0,8464.607142857143,True
STAR,2020-02-03,764350.0,896509.6785714285,False
STARCEMENT,2020-02-03,131435.0,289294.4285714286,False
STRTECH,2020-02-03,833323.0,1993984.9285714286,False
SUBROS,2020-02-03,34779.0,127844.75,False
SUDARSCHEM,2020-02-03,436827.0,201213.92857142858,True
SUNCLAYLTD,2020-02-03,507.0,1222.142857142857,False
SUNDARMFIN,2020-02-03,48109.0,100229.19642857143,False
SUNDRMFAST,2020-02-03,65989.0,164161.80357142858,False
SUNPHARMA,2020-02-03,13253937.0,14225492.375,False
SUNTECK,2020-02-03,209060.0,199369.05357142858,True
SUNTV,2020-02-03,3094912.0,2543874.285714286,True
SUPPETRO,2020-02-03,13105.0,90440.96428571429,False
SUPRAJIT,2020-02-03,135619.0,234019.9107142857,False
SUPREMEIND,2020-02-03,55804.0,99643.71428571429,False
SWARAJENG,2020-02-03,10372.0,4698.071428571428,True
SYMPHONY,2020-02-03,43100.0,37379.55357142857,True
SYNGENE,2020-02-03,328918.0,392140.0,False
TAJGVK,2020-02-03,35538.0,83376.07142857143,False
TAKE,2020-02-03,110281.0,92417.60714285714,True
TASTYBITE,2020-02-03,1349.0,1739.7857142857142,False
TATACHEM,2020-02-03,2281434.0,2188035.125,True
TATACOFFEE,2020-02-03,921542.0,600174.7321428572,True
TATACONSUM,2020-02-03,921542.0,600174.7321428572,True
TATAELXSI,2020-02-03,356019.0,540397.3214285715,False
TATAINVEST,2020-02-03,32157.0,25380.64285714286,True
TATAMETALI,2020-02-03,166492.0,28849.64285714286,True
TATAPOWER,2020-02-03,41541291.0,20524194.17857143,True
TATASTEEL,2020-02-03,14007462.0,16079449.94642857,False
TCI,2020-02-03,8688.0,51877.21428571428,False
TCS,2020-02-03,3482160.0,4628367.589285715,False
TEAMLEASE,2020-02-03,16380.0,15905.357142857143,True
TECHM,2020-02-03,2265885.0,4650276.964285715,False
TEXRAIL,2020-02-03,55284.0,257013.125,False
THERMAX,2020-02-03,39908.0,142568.94642857142,False
THOMASCOOK,2020-02-03,395929.0,332299.1964285714,True
THYROCARE,2020-02-03,56179.0,208989.51785714287,False
TIDEWATER,2020-02-03,847.0,1957.7857142857142,False
TIMETECHNO,2020-02-03,144746.0,199195.375,False
TIMKEN,2020-02-03,58422.0,45106.625,True
TINPLATE,2020-02-03,108883.0,230335.19642857142,False
TITAN,2020-02-03,3925259.0,3911230.0535714286,True
TNPL,2020-02-03,62002.0,357058.0535714286,False
TORNTPHARM,2020-02-03,2379157.0,716325.9464285715,True
TORNTPOWER,2020-02-03,1038328.0,1570395.0535714286,False
TRENT,2020-02-03,261854.0,561140.5,False
TRIDENT,2020-02-03,1979015.0,5812514.875,False
TRITURBINE,2020-02-03,20066.0,104170.30357142857,False
TRIVENI,2020-02-03,1003371.0,528832.9464285715,True
TTKPRESTIG,2020-02-03,2282.0,7373.732142857143,False
TV18BRDCST,2020-02-03,1198945.0,4126747.1428571427,False
TVSMOTOR,2020-02-03,4252529.0,3463232.0535714286,True
TVSSRICHAK,2020-02-03,181636.0,23731.39285714286,True
TVTODAY,2020-02-03,14377.0,39301.232142857145,False
UBL,2020-02-03,577558.0,746943.4285714285,False
UFLEX,2020-02-03,166158.0,125664.92857142857,True
ULTRACEMCO,2020-02-03,826874.0,732673.9642857143,True
UNITEDBNK,2019-12-20,760551.0,549715.9016393443,True
UPL,2020-02-03,15176090.0,6764706.0,True
VAIBHAVGBL,2020-02-03,6968.0,15833.5,False
