company,ema50,ema200,ratio,outcome,action,longName,price,regularMarketVolume,marketCap,bookValue,priceToBook,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh
KOLTEPATIL,162.55894120937933,180.60558698404986,0.11101601450163286,close by,sell,Kolte-Patil Developers Limited,170.65,47364,12940320768,119.234,1.4312192,209387,233235,67.649994,0.65679604,103.0 - 287.7,-117.05002,-0.40684745,103.0,287.7
KOTAKBANK,1361.1920591021296,1391.4455762945563,0.022225752045881397,close by,sell,Kotak Mahindra Bank Limited,1380.05,4101496,2731119214592,348.331,3.9618928,4766775,5313606,379.05005,0.37867138,1001.0 - 1740.0,-359.94995,-0.20686778,1001.0,1740.0
KPITTECH,74.67413760219165,72.63831644033817,-0.02726273415702261,close by,buy,KPIT Technologies Limited,84.05,1220440,22599364608,38.906,2.1603353,693027,447861,49.700005,1.4468707,34.35 - 112.5,-28.449997,-0.25288886,34.35,112.5
KPRMILL,503.48178590546104,515.0271504763826,0.0229310471483262,close by,sell,K.P.R. Mill Limited,552.05,19177,38048829440,271.198,2.0355976,34318,37237,239.69998,0.7674083,312.35 - 715.0,-162.95001,-0.22790211,312.35,715.0
KRBL,268.7862204870368,248.59979691854326,-0.0751021519329229,close by,buy,KRBL Limited,262.85,173599,61919576064,132.895,1.9778773,572386,238996,170.85,1.8570653,92.0 - 339.0,-76.149994,-0.22463125,92.0,339.0
KSB,519.8475986840913,554.6229030665817,0.06689519095696192,close by,sell,KSB Limited,519.7,13947,18109933568,243.483,2.1344407,35574,15937,133.70001,0.34637308,386.0 - 764.0,-244.29999,-0.31976438,386.0,764.0
KSCL,586.7837883037117,512.6386072524841,-0.12635860521226777,close by,buy,Kaveri Seed Company Limited,582.8,149721,35127394304,251.898,2.3136349,402278,256247,309.05,1.1289498,273.75 - 682.5,-99.70001,-0.1460806,273.75,682.5
KTKBANK,44.627984873030584,54.93320550111932,0.23091386844841263,close by,sell,The Karnataka Bank Limited,45.1,1132334,14020237312,192.056,0.23482734,3532625,2590073,10.899998,0.31871337,34.2 - 82.95,-37.85,-0.45629898,34.2,82.95
L&TFH,65.6419513588062,78.39302191885005,0.19425185108140813,close by,sell,L&T Finance Holdings Limited,65.85,9296919,132129996800,,,18370923,15485475,19.949997,0.43464044,45.9 - 134.0,-68.15,-0.5085821,45.9,134.0
LALPATHLAB,1809.980396276103,1621.0742835691588,-0.10436914847011834,close by,buy,Dr. Lal PathLabs Limited,1845.55,50276,153817169920,125.226,14.737755,148348,98754,666.0,0.5646221,1179.55 - 2029.0,-183.44995,-0.09041397,1179.55,2029.0
