company,ema50,ema200,action
INDIANB,61.934676858390475,83.4167135491907,sell
INDIGO,1084.038108301198,1149.18901527411,sell
INDOCO,229.22403876406605,211.9492986426474,buy
INDOSTAR,268.69921205376664,267.8208533154668,buy
INDUSINDBK,540.2133460800774,761.7793530598617,sell
INFIBEAM,71.21925898989247,59.021777577323654,buy
INFRATEL,201.420233070386,213.9660188632394,sell
INFY,892.3552221511277,784.2512239689395,buy
INGERRAND,631.7978752340775,629.4626632580479,buy
INOXLEISUR,261.7225462819702,280.12864840879956,sell
INTELLECT,159.70795077674788,138.8248488556759,buy
IOB,10.491178881130471,10.035847857257705,buy
IOC,87.2478212752769,98.84969218226581,sell
IPCALAB,1873.0644538006038,1535.1378664982683,buy
IRB,114.24932067781785,95.93344556612853,buy
IRCON,96.97594716777903,199.32145722576658,sell
IRCTC,1361.438359964539,1312.040533133102,buy
ISEC,475.8088319507944,408.70975587639515,buy
ITC,194.6033600599625,205.431175275305,sell
ITDC,226.5400562933778,227.76190780815756,sell
ITI,127.96071440042628,102.77389358633353,buy
J&KBANK,17.118018885336813,21.008885068749894,sell
JAGRAN,40.29677943878774,50.68444508948801,sell
JAICORPLTD,90.5535529306851,86.66976845364088,buy
JAMNAAUTO,36.12307454479754,35.60762147097148,buy
JBCHEPHARM,743.0353509813447,610.3252900403338,buy
JCHAC,2167.792766898124,2184.512818196286,sell
JINDALSAW,61.38702491830175,65.17067663290051,sell
JINDALSTEL,192.2189733231646,155.9252458412094,buy
JKCEMENT,1454.5807813844367,1276.2984588332688,buy
JKLAKSHMI,272.5716415951881,273.05710675083753,sell
JKPAPER,97.18218748770526,104.30849818216193,sell
JKTYRE,62.32325921564139,63.81075897936757,sell
JMFINANCIL,77.99483979152433,79.5920957544285,sell
JSL,42.40545728827892,37.62404481338607,buy
JSLHISAR,82.51232076772034,69.38826489261434,buy
JSWENERGY,51.46528355645085,53.32570384549315,sell
JSWSTEEL,243.64425801866045,225.82862587733942,buy
JUBILANT,754.5572512658249,605.6968941184559,buy
JUBLFOOD,1896.3324974603854,1679.5926870800129,buy
JUSTDIAL,381.015842008379,433.9733871278313,sell
JYOTHYLAB,133.7756502716062,132.84392428996583,buy
KAJARIACER,418.41044414573895,436.8808582898925,sell
KALPATPOWR,248.80625741940534,289.6886233548079,sell
KANSAINER,457.8743684592199,446.70305605101254,buy
KARURVYSYA,34.79124762765121,39.62005292246458,sell
KEC,289.76420118471935,269.9312504496624,buy
KEI,373.7961822997751,385.63654114092407,sell
KNRCON,228.871169007366,226.9361392040818,buy
KOLTEPATIL,162.22869416092604,180.70564319598517,sell
KOTAKBANK,1360.4223452357624,1391.5601042087917,sell
KPITTECH,74.29144921649508,72.52362612263546,buy
KPRMILL,501.4994103182158,514.6550616591305,sell
KRBL,269.02851495167033,248.45657873577971,buy
KSB,519.8536226219304,554.9738868943159,sell
KSCL,586.946392406191,511.93346774956467,buy
KTKBANK,44.60871901176158,55.032031702395685,sell
L&TFH,65.63345963981375,78.519082455983,sell
LALPATHLAB,1808.5285737229592,1618.8182457273601,buy
LAOPALA,197.38567159580722,182.85604221440258,buy
LAURUSLABS,910.9329846801717,602.0282964505903,buy
LAXMIMACH,3087.271876097446,3169.916998705561,sell
LEMONTREE,26.92005390304044,35.04817462490717,sell
LICHSGFIN,278.4266699085881,317.45507881225325,sell
LINDEINDIA,681.9286576381573,613.574300754541,buy
LT,950.4021909353471,1044.1965985182374,sell
LTI,2302.3847788083804,1952.004020932398,buy
LTTS,1485.5867869496246,1433.7466612202002,buy
LUPIN,927.0701953353778,839.4530541535414,buy
LUXIND,1246.5845942237602,1196.9108419264007,buy
M&M,585.5687606454636,530.8082463911626,buy
M&MFIN,142.95413275550658,213.4025013843204,sell
MAHABANK,12.230316541056466,11.52330801798974,buy
MAHINDCIE,121.29066373328232,127.90752003732554,sell
MAHLOG,319.61576424841104,330.03023288576975,sell
MAHSCOOTER,2958.362104017363,3142.0631743709073,sell
MAHSEAMLES,224.24985652882657,268.76909265757257,sell
MANAPPURAM,155.69532372268867,146.15386984307744,buy
MARICO,360.1527750816753,339.9467825151596,buy
MARUTI,6468.758911762593,6218.9015262886605,buy
MASFIN,715.3695462623496,703.5435265459149,buy
MCDOWELL-N,583.4411389221542,585.2675413097602,sell
MCX,1542.9331323700721,1286.8410120847748,buy
METROPOLIS,1638.6831455339607,1480.5012243191773,buy
MFSL,551.675394651363,499.8759041327901,buy
MGL,986.5091577746631,979.4240041513913,buy
MHRIL,172.1669977821527,181.97302545741303,sell
MIDHANI,211.14078379128773,192.00265804437745,buy
MINDACORP,73.00903381271114,79.61135430844253,sell
MINDAIND,307.6696895446716,309.4133711886598,sell
MINDTREE,1085.2797789852966,943.0751125081032,buy
MMTC,18.64564068815457,18.17816550435195,buy
MOIL,146.68140616652693,140.86597031012286,buy
MOTHERSUMI,106.57257395162621,105.2938712407673,buy
MOTILALOFS,661.9234745391109,645.8693504494262,buy
MPHASIS,1086.108996759281,944.4726106979496,buy
MRF,61215.233101686,62070.78445262673,sell
MRPL,34.04149156937155,38.25620227751071,sell
MUTHOOTFIN,1159.3968094852673,936.5455351014513,buy
NAM-INDIA,277.95356619158855,284.2016189922122,sell
NATCOPHARM,753.2161952993694,659.293311217494,buy
NATIONALUM,35.0695802191395,36.6164025324998,sell
NAUKRI,3145.851078766824,2722.449190797664,buy
NAVINFLUOR,1880.0788350552775,1473.8058166991655,buy
NBCC,25.541358396113257,28.174893194974977,sell
NBVENTURES,53.95161782187765,57.570472356361186,sell
NCC,32.45774211556206,39.002035199762005,sell
NESCO,498.19819174833486,512.8924355269721,sell
NESTLEIND,16532.198181511987,15789.844147708649,buy
NFL,35.35106724031286,30.51963641852823,buy
NH,310.82572213764524,290.75547782813857,buy
NHPC,21.029362140030077,21.515620369720985,sell
NIACL,116.6758584321083,124.92526224734776,sell
NIITTECH,1803.2237947871888,1573.1754699760831,buy
NILKAMAL,1237.3094005711916,1203.8601712561829,buy
NLCINDIA,50.02848227693941,50.53279756342096,sell
NMDC,90.77097059789472,91.60555703677522,sell
NTPC,94.40312369913185,100.4116120774715,sell
OBEROIRLTY,372.6407122962142,410.73754743733514,sell
OFSS,2932.847837462169,2809.7711526364465,buy
OIL,96.06490658947365,110.68779007756466,sell
OMAXE,91.08019517498948,138.17932006310107,sell
ONGC,80.11620560766313,93.51292688423474,sell
ORIENTCEM,66.55407689487902,67.64504748049556,sell
ORIENTELEC,186.9464690898514,186.23766606332543,buy
ORIENTREF,183.7141216565216,183.36363958137642,buy
PAGEIND,19450.17839143795,20072.47662795887,sell
PEL,1380.5194706623083,1378.5300742388147,buy
PERSISTENT,885.7854853384158,711.0823922064593,buy
PETRONET,249.61598776675498,248.00410384905283,buy
PFC,90.70144528229866,95.52563807416826,sell
PFIZER,4455.497519713635,4149.872986091066,buy
PGHH,10222.4087138896,10452.603456387129,sell
PGHL,4516.624935511262,4224.023935863341,buy
PHILIPCARB,110.62499566802859,107.00917817463291,buy
PHOENIXLTD,1026.04968787612,1013.9704034340575,buy
