company,current date,start date,current volume,mean volume,action,close price
GSFC,08-25-2020,27-05-2020,5677901.0,1341610.0153846154,True,68.0
GSPL,08-25-2020,27-05-2020,1033047.0,1038950.9846153846,False,212.35000610351562
GUJALKALI,08-25-2020,27-05-2020,274327.0,158494.33846153846,True,337.54998779296875
GUJGASLTD,08-25-2020,27-05-2020,967752.0,1105027.8461538462,False,326.95001220703125
GULFOILLUB,08-25-2020,27-05-2020,59433.0,54339.56923076923,True,694.75
HAL,08-25-2020,27-05-2020,419256.0,762178.3384615384,False,1172.949951171875
HATHWAY,08-25-2020,27-05-2020,510897.0,4102850.5846153847,False,35.650001525878906
HATSUN,08-25-2020,27-05-2020,119629.0,47853.769230769234,True,807.7999877929688
HAVELLS,08-25-2020,27-05-2020,2952105.0,2417695.3538461537,True,663.0499877929688
HCLTECH,08-25-2020,27-05-2020,3982297.0,6027334.446153847,False,701.5999755859375
HDFC,08-25-2020,27-05-2020,2644865.0,5695151.584615384,False,1829.5999755859375
HDFCAMC,08-25-2020,27-05-2020,423525.0,470353.90769230766,False,2490.949951171875
HDFCBANK,08-25-2020,27-05-2020,13800051.0,17596105.184615385,False,1119.699951171875
HDFCLIFE,08-25-2020,27-05-2020,1800128.0,4566198.307692308,False,599.7999877929688
HEG,08-25-2020,27-05-2020,6612780.0,489961.4769230769,True,930.9000244140625
HEIDELBERG,08-25-2020,27-05-2020,781370.0,752963.8,True,199.3000030517578
HERITGFOOD,08-25-2020,27-05-2020,62417.0,111020.98461538462,False,342.29998779296875
HEROMOTOCO,08-25-2020,27-05-2020,1323041.0,1743796.8461538462,False,2969.75
HEXAWARE,08-25-2020,27-05-2020,649033.0,1186298.9076923076,False,418.95001220703125
HFCL,08-25-2020,27-05-2020,9695802.0,5523859.323076923,True,17.299999237060547
HIMATSEIDE,08-25-2020,27-05-2020,763970.0,586151.8153846153,True,90.44999694824219
HINDALCO,08-25-2020,27-05-2020,13435992.0,17621957.876923077,False,191.3000030517578
HINDCOPPER,08-25-2020,27-05-2020,1295918.0,1935488.6153846155,False,38.04999923706055
HINDPETRO,08-25-2020,27-05-2020,5591416.0,8052030.523076923,False,211.25
HINDUNILVR,08-25-2020,27-05-2020,1774612.0,2910609.815384615,False,2179.10009765625
HINDZINC,08-25-2020,27-05-2020,555633.0,1880141.353846154,False,225.85000610351562
HONAUT,08-25-2020,27-05-2020,10976.0,5463.676923076923,True,34647.0
HSCL,08-25-2020,27-05-2020,3406881.0,2223582.1692307694,True,56.900001525878906
HUDCO,08-25-2020,27-05-2020,3600975.0,3043299.476923077,True,38.099998474121094
IBREALEST,08-25-2020,27-05-2020,3785508.0,2744027.769230769,True,67.5
IBULHSGFIN,08-25-2020,27-05-2020,19649911.0,28800648.984615386,False,206.3000030517578
IBVENTURES,08-25-2020,27-05-2020,2264421.0,1768746.1076923078,True,199.75
ICICIBANK,08-25-2020,27-05-2020,53065456.0,43515943.50769231,True,386.3500061035156
ICICIGI,08-25-2020,27-05-2020,329666.0,974894.1846153847,False,1265.3499755859375
ICICIPRULI,08-25-2020,27-05-2020,840788.0,2710996.5076923077,False,446.3500061035156
ICRA,08-25-2020,27-05-2020,6171.0,2909.8153846153846,True,2782.60009765625
IDBI,08-25-2020,27-05-2020,2535284.0,5928336.584615384,False,41.95000076293945
IDEA,08-25-2020,27-05-2020,157079404.0,470893797.46153843,False,9.0
IDFC,08-25-2020,27-05-2020,4546799.0,14660578.338461539,False,28.899999618530273
IDFCFIRSTB,08-25-2020,27-05-2020,46542027.0,50795161.984615386,False,31.950000762939453
IEX,08-25-2020,27-05-2020,1471401.0,792439.7692307692,True,192.3000030517578
IFBIND,08-25-2020,27-05-2020,529877.0,111680.8,True,481.75
IFCI,08-25-2020,27-05-2020,2230950.0,5275646.861538461,False,7.349999904632568
IGL,08-25-2020,27-05-2020,3249716.0,4599066.353846154,False,413.54998779296875
IIFL,08-25-2020,27-05-2020,928206.0,1081852.5692307693,False,78.80000305175781
IIFLWAM,08-25-2020,27-05-2020,14009.0,21715.69230769231,False,1138.75
INDHOTEL,08-25-2020,27-05-2020,4698444.0,3964849.676923077,True,104.6500015258789
INDIACEM,08-25-2020,27-05-2020,1538593.0,2735290.7384615387,False,118.25
INDIAMART,08-25-2020,27-05-2020,477387.0,193775.8,True,3708.0
INDIANB,08-25-2020,27-05-2020,3253421.0,4006019.7846153844,False,65.3499984741211
INDIGO,08-25-2020,27-05-2020,2968358.0,3025224.9076923076,False,1166.199951171875
INDOCO,08-25-2020,27-05-2020,164969.0,186035.03076923077,False,244.10000610351562
INDOSTAR,08-25-2020,27-05-2020,68107.0,166316.4,False,276.0
INDUSINDBK,08-25-2020,27-05-2020,18375809.0,25973428.323076922,False,536.5
INFIBEAM,08-25-2020,27-05-2020,758134.0,1118143.276923077,False,76.94999694824219
INFRATEL,08-25-2020,27-05-2020,4470131.0,8916099.8,False,198.25
INFY,08-25-2020,27-05-2020,6231829.0,12427579.26153846,False,938.0999755859375
INGERRAND,08-25-2020,27-05-2020,25525.0,30929.446153846155,False,651.7999877929688
INOXLEISUR,08-25-2020,27-05-2020,1044095.0,896573.8461538461,True,291.5
INTELLECT,08-25-2020,27-05-2020,106851.0,234015.07692307694,False,186.1999969482422
IOB,08-25-2020,27-05-2020,4602402.0,7030806.338461539,False,10.850000381469727
IOC,08-25-2020,27-05-2020,19535589.0,23961128.53846154,False,88.30000305175781
IPCALAB,08-25-2020,27-05-2020,541385.0,389771.7076923077,True,2042.300048828125
IRB,08-25-2020,27-05-2020,2377966.0,4090593.153846154,False,125.75
IRCON,08-25-2020,27-05-2020,1621347.0,1620827.6923076923,True,96.8499984741211
IRCTC,08-25-2020,27-05-2020,364067.0,887026.723076923,False,1341.75
ISEC,08-25-2020,27-05-2020,1498294.0,585671.3846153846,True,504.70001220703125
ITC,08-25-2020,27-05-2020,15193006.0,27992505.138461538,False,195.39999389648438
ITDC,08-25-2020,27-05-2020,26064.0,65497.846153846156,False,239.25
ITI,08-25-2020,27-05-2020,750410.0,3350051.107692308,False,138.6999969482422
J&KBANK,08-25-2020,27-05-2020,1439359.0,4505103.184615385,False,17.899999618530273
JAGRAN,08-25-2020,27-05-2020,324756.0,747929.9076923077,False,41.04999923706055
JAICORPLTD,08-25-2020,27-05-2020,1664534.0,3002081.923076923,False,96.0999984741211
JAMNAAUTO,08-25-2020,27-05-2020,1020291.0,2289973.4923076923,False,41.650001525878906
JBCHEPHARM,08-25-2020,27-05-2020,209734.0,313486.76923076925,False,806.25
JCHAC,08-25-2020,27-05-2020,7394.0,11139.723076923077,False,2127.0
JINDALSAW,08-25-2020,27-05-2020,1015484.0,2054515.723076923,False,67.75
JINDALSTEL,08-25-2020,27-05-2020,12500620.0,16562299.707692308,False,222.0
JKCEMENT,08-25-2020,27-05-2020,51359.0,89191.47692307692,False,1496.1500244140625
JKLAKSHMI,08-25-2020,27-05-2020,268315.0,382882.1076923077,False,283.6499938964844
JKPAPER,08-25-2020,27-05-2020,933445.0,1807255.2307692308,False,98.0999984741211
JKTYRE,08-25-2020,27-05-2020,1379433.0,1363093.8923076922,True,60.099998474121094
JMFINANCIL,08-25-2020,27-05-2020,566889.0,1730294.2461538462,False,81.0
JSL,08-25-2020,27-05-2020,796440.0,860896.2153846154,False,49.79999923706055
JSLHISAR,08-25-2020,27-05-2020,616353.0,583978.7538461538,True,99.3499984741211
JSWENERGY,08-25-2020,27-05-2020,1925114.0,2940840.3538461537,False,57.650001525878906
JSWSTEEL,08-25-2020,27-05-2020,7786204.0,11448424.476923076,False,284.8999938964844
JUBILANT,08-25-2020,27-05-2020,639462.0,721733.2153846154,False,833.2999877929688
JUBLFOOD,08-25-2020,27-05-2020,1445355.0,1157631.4307692307,True,2106.85009765625
JUSTDIAL,08-25-2020,27-05-2020,1471737.0,2402543.892307692,False,376.04998779296875
JYOTHYLAB,08-25-2020,27-05-2020,378014.0,957275.0923076923,False,146.0500030517578
KAJARIACER,08-25-2020,27-05-2020,420858.0,406778.90769230766,True,473.04998779296875
KALPATPOWR,08-25-2020,27-05-2020,259108.0,554084.2615384615,False,273.1000061035156
KANSAINER,08-25-2020,27-05-2020,114114.0,284195.2,False,469.75
KARURVYSYA,08-25-2020,27-05-2020,19274676.0,3233131.6615384617,True,39.25
KEC,08-25-2020,27-05-2020,493057.0,480705.2923076923,True,325.1499938964844
KEI,08-25-2020,27-05-2020,164153.0,319667.6,False,398.70001220703125
KNRCON,08-25-2020,27-05-2020,261003.0,277473.24615384615,False,266.20001220703125
KOLTEPATIL,08-25-2020,27-05-2020,385616.0,194567.12307692308,True,178.5500030517578
KOTAKBANK,08-25-2020,27-05-2020,4561680.0,5288089.523076923,False,1400.0999755859375
KPITTECH,08-25-2020,27-05-2020,298712.0,744707.0,False,82.69999694824219
KPRMILL,08-25-2020,27-05-2020,38605.0,30480.015384615384,True,553.5999755859375
KRBL,08-25-2020,27-05-2020,158796.0,580551.4461538461,False,288.3500061035156
KSB,08-25-2020,27-05-2020,96474.0,35224.70769230769,True,548.4000244140625
KSCL,08-25-2020,27-05-2020,1400730.0,423264.6,True,638.7000122070312
KTKBANK,08-25-2020,27-05-2020,5851861.0,3929399.630769231,True,49.0
L&TFH,08-25-2020,27-05-2020,16165893.0,18806073.0,False,68.05000305175781
LALPATHLAB,08-25-2020,27-05-2020,151704.0,148629.47692307693,True,1841.199951171875
LAOPALA,08-25-2020,27-05-2020,976553.0,191366.87692307692,True,229.89999389648438
LAURUSLABS,08-25-2020,27-05-2020,1334098.0,1928372.9692307692,False,1155.5999755859375
LAXMIMACH,08-25-2020,27-05-2020,6064.0,10191.153846153846,False,3303.550048828125
LEMONTREE,08-25-2020,27-05-2020,1774912.0,4225683.338461539,False,30.299999237060547
LICHSGFIN,08-25-2020,27-05-2020,43276511.0,6502202.338461539,True,299.0
LINDEINDIA,08-25-2020,27-05-2020,47922.0,113934.04615384615,False,763.5499877929688
LT,08-25-2020,27-05-2020,2912843.0,5481531.738461538,False,980.4000244140625
LTI,08-25-2020,27-05-2020,111386.0,160062.78461538462,False,2343.25
LTTS,08-25-2020,27-05-2020,122062.0,143937.8,False,1545.0
LUPIN,08-25-2020,27-05-2020,7284538.0,3934990.292307692,True,972.1500244140625
LUXIND,08-25-2020,27-05-2020,38679.0,70920.30769230769,False,1331.5
M&M,08-25-2020,27-05-2020,4247602.0,6979322.230769231,False,609.3499755859375
M&MFIN,08-25-2020,27-05-2020,18172169.0,21048425.753846154,False,137.35000610351562
MAHABANK,08-25-2020,27-05-2020,15112512.0,4952503.984615385,True,14.75
MAHINDCIE,08-25-2020,27-05-2020,180655.0,255303.53846153847,False,144.39999389648438
MAHLOG,08-25-2020,27-05-2020,111826.0,125932.98461538462,False,362.5
MAHSCOOTER,08-25-2020,27-05-2020,38846.0,22424.123076923075,True,3198.199951171875
MAHSEAMLES,08-25-2020,27-05-2020,180191.0,160535.07692307694,True,246.14999389648438
MANAPPURAM,08-25-2020,27-05-2020,7382030.0,11284069.646153847,False,159.10000610351562
MARICO,08-25-2020,27-05-2020,2615210.0,2937557.3846153845,False,369.20001220703125
MARUTI,08-25-2020,27-05-2020,1047431.0,1456445.2153846154,False,7109.9501953125
MASFIN,08-25-2020,27-05-2020,30863.0,32880.96923076923,False,792.1500244140625
MCDOWELL-N,08-25-2020,27-05-2020,1288484.0,3294912.4,False,578.4500122070312
MCX,08-25-2020,27-05-2020,225651.0,408142.8923076923,False,1694.75
METROPOLIS,08-25-2020,27-05-2020,152681.0,131999.5076923077,True,1829.9000244140625
MFSL,08-25-2020,27-05-2020,10805430.0,1523839.2153846154,True,619.8499755859375
MGL,08-25-2020,27-05-2020,854537.0,1084911.076923077,False,1038.5999755859375
