company,ema_date,ema5,ema13,ema26,action,ratioCB,ratioCA,ratioBA
HINDPETRO,19-09-2020,196.0474354474178,198.46958651685773,202.54649989298898,sell,2.033291687937204,3.2609951478668906,1.2279070025319547
HINDUNILVR,19-09-2020,2122.2448491323044,2135.950186487266,2152.452813955081,sell,0.7696397687490206,1.4133380745790212,0.6437158110568987
HINDZINC,19-09-2020,217.9080822131009,221.06171766652858,221.67012511962605,sell,0.2748424189544185,1.7116603342792993,1.4368348138265754
HONAUT,19-09-2020,33385.76443059259,33106.480271188215,32519.432850114852,sell,1.7890720087605128,2.629023555722954,0.8400503266417731
HSCL,19-09-2020,53.080253317427704,53.08441872556144,52.473357994757535,sell,1.157774916807778,1.1499281078602164,0.007847070129035598
HUDCO,19-09-2020,34.10542203406078,35.11513859050924,35.47021522396921,sell,1.006091531093635,3.923192783263848,2.917389132182377
IBREALEST,19-09-2020,60.155669131376385,61.21873164297084,61.870779508184974,sell,1.0594694204503121,2.8110469425765863,1.7517079463417355
IBULHSGFIN,19-09-2020,184.49911052860202,191.9415240631502,197.37895402084922,sell,2.7932925514007176,6.74552674683902,3.9540967954320076
IBVENTURES,19-09-2020,223.17781256406352,214.10098509769978,198.1823544938618,sell,7.722179906473134,11.864177026854815,4.151505865319679
ICICIBANK,19-09-2020,370.399940993562,373.04497386100746,373.2488803606601,buy,0.054645096833955985,0.7662055758819233,0.7115612238636115
ICICIGI,19-09-2020,1293.726154633472,1287.4947992878906,1289.460036091885,buy,0.15252396177171132,0.3302989584648658,0.4828223121399118
ICICIPRULI,19-09-2020,428.09768001211296,432.9712612875233,437.49380477312275,sell,1.0391097039807804,2.1710298509558665,1.1319839891227543
ICRA,19-09-2020,2764.7044250348445,2753.766676300674,2721.716671937623,sell,1.1706730648121961,1.5670599225766069,0.396405038037557
IDBI,19-09-2020,37.492076069647695,38.09415564884431,38.70916538719749,sell,1.6015186063752949,3.194408107482246,1.5930932539115186
IDEA,19-09-2020,11.35935480243845,11.120072340484448,10.540589088304245,sell,5.35055916076529,7.477331615267789,2.1289017770128877
IDFC,19-09-2020,31.916897519418416,30.51104065226443,28.730228575501346,sell,6.012065912755412,10.508886897392514,4.5039349635022194
IDFCFIRSTB,19-09-2020,31.49596266465006,31.369361101425966,30.929762726923816,sell,1.411250584240503,1.813995541660685,0.402770734770044
IEX,19-09-2020,205.30461133011408,199.80689358088745,195.1981762329787,sell,2.333497820714277,5.04687378513852,2.7141750765308057
IFBIND,19-09-2020,626.6522373794727,579.60566755208,529.7805468388951,sell,8.982466172168477,16.75353584965218,7.800416417592264
IFCI,19-09-2020,6.710011548645495,6.830040147377952,6.88494086930276,sell,0.8005949386008688,2.5734451328615258,1.7729415134760225
IGL,19-09-2020,414.82941395248656,408.31894691356365,405.9359873429862,sell,0.5853104403360322,2.167105629809254,1.581845350957906
IIFL,19-09-2020,87.68670780782183,86.82825344664006,84.12334821278783,sell,3.1645275125774828,4.148022156056516,0.9838174962317993
IIFLWAM,19-09-2020,981.8298057944063,995.3843630520556,1012.4961041665067,sell,1.7044581481640997,3.075354757107021,1.371076282096164
INDHOTEL,19-09-2020,100.73132305930346,100.90961119841212,98.77837238618761,sell,2.134568914930817,1.9577501421723387,0.17683724762035716
INDIACEM,19-09-2020,123.78417537399696,120.55617723378789,118.9530918146882,sell,1.338641652966874,3.980504201321057,2.642214522290266
INDIAMART,19-09-2020,4978.965010102846,4676.741234035602,4200.990295695138,sell,10.717849188099821,16.9494227039721,6.2600035341943014
INDIANB,19-09-2020,61.705444117384964,62.34462766084407,62.572558246862535,sell,0.36493070887278856,1.39544265756081,1.0305250682995284
INDIGO,19-09-2020,1314.6281458657363,1281.1755846504986,1225.2787129632045,sell,4.460234662208792,7.035646412934024,2.5774337883846754
INDOCO,19-09-2020,266.5255292483712,250.33076424047536,242.27139827080646,sell,3.272160206760897,9.533914088602879,6.266641312841167
INDOSTAR,19-09-2020,290.18713979874303,278.7110074106471,273.4039315283248,sell,1.9224532821086784,5.95581055991516,4.034512133459986
INDUSINDBK,19-09-2020,616.9938887621529,611.3184856160923,592.1832537634625,sell,3.1799259156026847,4.103722130715812,0.9240976911811074
INFIBEAM,19-09-2020,79.3501330859443,79.16412685548624,77.70311721927823,sell,1.8627338611388964,2.097398001588889,0.2346870628885699
