symbol,NiftyMidcap150,NiftyMidcap400,Nifty500,NiftySmallcap50,NiftySmallcap250,NiftyMidcap50,Nifty200,NiftyNext50,Nifty100,Nifty50
OBEROIRLTY,True,True,True,False,False,False,True,False,False,False
OFSS,True,True,True,False,False,False,False,False,False,False
OIL,True,True,True,False,False,False,True,False,False,False
ONGC,False,False,True,False,False,False,True,False,True,True
ORIENTELEC,False,True,True,False,True,False,False,False,False,False
PAGEIND,True,True,True,False,False,True,True,False,False,False
PCBL,False,True,True,False,True,False,False,False,False,False
PEL,False,False,True,False,False,False,True,True,True,False
PERSISTENT,True,True,True,False,False,False,False,False,False,False
PETRONET,True,True,True,False,False,True,True,False,False,False
PFC,True,True,True,False,False,True,True,False,False,False
PFIZER,True,True,True,False,False,False,True,False,False,False
PGHH,False,False,True,False,False,False,True,True,True,False
PGHL,False,True,True,False,True,False,False,False,False,False
PHOENIXLTD,True,True,True,False,False,False,False,False,False,False
PIDILITIND,False,False,True,False,False,False,True,True,True,False
PIIND,False,False,True,False,False,False,True,True,True,False
PNB,False,False,True,False,False,False,True,True,True,False
PNBHOUSING,False,True,True,True,True,False,False,False,False,False
PNCINFRA,False,True,True,False,True,False,False,False,False,False
POLYCAB,True,True,True,False,False,False,True,False,False,False
POLYMED,False,True,True,False,True,False,False,False,False,False
POLYPLEX,False,True,True,False,True,False,False,False,False,False
POONAWALLA,False,True,True,False,True,False,False,False,False,False
POWERGRID,False,False,True,False,False,False,True,False,True,True
POWERINDIA,False,True,True,False,True,False,False,False,False,False
PRAJIND,False,True,True,False,True,False,False,False,False,False
PRESTIGE,True,True,True,False,False,False,True,False,False,False
PRINCEPIPE,False,True,True,False,True,False,False,False,False,False
PRSMJOHNSN,False,True,True,False,True,False,False,False,False,False
PVR,False,True,True,True,True,False,False,False,False,False
QUESS,False,True,True,False,True,False,False,False,False,False
RADICO,False,True,True,True,True,False,False,False,False,False
RAILTEL,False,True,True,False,True,False,False,False,False,False
RAIN,False,True,True,False,True,False,False,False,False,False
RAJESHEXPO,True,True,True,False,False,False,False,False,False,False
RALLIS,False,True,True,True,True,False,False,False,False,False
RAMCOCEM,True,True,True,False,False,True,True,False,False,False
RATNAMANI,False,True,True,False,True,False,False,False,False,False
